Title,Month,Day,Year,Category,Income/Expense,Amount
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515380970",2,12,2004,Personal,Expense,515.45
"Internet Banking INTERNET TRANSFER 000000269148",3,4,2014,Accommodation,Expense,6132.95
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 112601145020",4,20,2001,Entertainment,Expense,9040.46
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112601145020",9,25,2014,Entertainment,Income,5725.65
"Internet Banking INTERNET TRANSFER 000000217559",10,2,2012,Health,Expense,3723.45
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8987807342 114434941244",10,10,2007,Entertainment,Expense,909.25
"AMZN Mktp CA*2L84Y3JX0 WWW.AMAZON.CA, ON",9,8,2014,Utilities,Expense,6422.35
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*MARBLE 119401668024",7,20,2005,Utilities,Expense,5608.12
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",7,8,2012,Health,Expense,8345.94
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 122817474064 80.00 CAD @ 1.000000",9,27,2000,Food,Income,2221.67
"INSTACART HALIFAX MID-H, NS",3,25,2010,Food,Expense,8122.96
"Internet Banking INTERNET BILL PAY 000000249061 MASTERCARD, BMO",4,29,2000,Health,Expense,4927.93
"Internet Banking E-TRANSFER 103780765947 Trina Dela Cruz",6,1,2017,Accommodation,Income,585.43
"Point of Sale - INTERAC RETAIL PURCHASE 000001143004 UPS STORE #189",6,26,2007,Entertainment,Expense,8855.80
"Internet Banking INTERNET TRANSFER 000000260690",11,22,2009,Health,Expense,5298.66
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE BDS-INFO.CH 120906774319 20.00 USD @ 1.292000",1,21,2010,Utilities,Income,6562.25
"Internet Banking INTERNET TRANSFER 000000219008",9,2,2015,Personal,Expense,8819.26
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115244629060",1,28,2006,Health,Expense,5243.92
"WAL-MART SUPERCENTER#3119 WINNIPEG, MB",6,16,2011,Utilities,Income,8579.19
"Point of Sale - INTERAC RETAIL PURCHASE 000001001182 UNICITY TAXI #",3,8,2013,Entertainment,Income,6130.60
"Internet Banking INTERNET BILL PAY 000000248281 MASTERCARD, BMO",6,26,2020,Health,Expense,3502.89
"Internet Banking E-TRANSFER 103835467191 kijiji controller user",4,22,2015,Entertainment,Expense,6306.49
"Internet Banking INTERNET TRANSFER 000000252936",4,18,2008,Utilities,Income,7031.83
"Branch Transaction WITHDRAWAL IBB FORT RICHMOND SQ BANKING CENTR",5,28,2018,Health,Income,3737.34
"Internet Banking E-TRANSFER 103893663933 CARLI ALECIA-MARIE MCNABB",7,8,2018,Food,Expense,1133.95
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 114242229059",11,8,2019,Entertainment,Expense,7818.07
"Ding 73179606 Dublin",4,5,2001,Personal,Income,5134.75
"Internet Banking INTERNET TRANSFER 000000236792",10,12,2005,Entertainment,Income,7125.69
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112517341247",4,22,2013,Utilities,Expense,4438.80
"Internet Banking E-TRANSFER 103907720458 Nil",5,21,2011,Entertainment,Income,7803.52
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129222472965 28.03 CAD @ 1.000000",8,20,2014,Accommodation,Expense,9266.51
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115562225836",8,11,2018,Entertainment,Expense,8907.88
"WWW.IKEA.CA BURLINGTON, ON",10,16,2001,Utilities,Expense,9208.94
"Internet Banking E-TRANSFER 103915794773 Nil",2,3,2018,Utilities,Expense,6575.08
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 115021236265",3,21,2008,Entertainment,Expense,3938.54
"Internet Banking INTERNET TRANSFER 000000268205",2,22,2000,Food,Income,1922.45
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE U OF M REGISTRA 114222247236",9,18,2010,Entertainment,Income,18.69
"Internet Banking INTERNET TRANSFER 000000274521",7,11,2001,Food,Expense,6325.02
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.263000",9,27,2012,Entertainment,Expense,2.90
"PAY PER USE OVERDRAFT FEE",10,24,2011,Personal,Income,1451.94
"Internet Banking INTERNET TRANSFER 000000233795",2,18,2013,Entertainment,Expense,4005.11
"UBER* TRIP TORONTO ON",10,15,2009,Utilities,Income,6004.31
"Internet Banking INTERNET TRANSFER 000000224660",3,13,2019,Health,Expense,5563.49
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.289000",6,27,2000,Accommodation,Expense,7953.51
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 100574173390",10,8,2008,Personal,Income,195.59
"Internet Banking INTERNET TRANSFER 000000280436",2,16,2015,Health,Income,1166.01
"UBR* PENDING.UBER.COM AMSTERDAM, ON",8,20,2008,Personal,Expense,7026.46
"Automated Banking Machine ATM WITHDRAWAL FORT RICHMOND SQ 2A12",4,29,2011,Health,Income,4662.48
"Point of Sale - INTERAC RETAIL PURCHASE 125215434629 TIM HORTONS #01",9,19,2007,Personal,Expense,4365.56
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 120843570813",8,5,2008,Personal,Expense,1527.58
"DOORDASH*CIRCLE K DOWNTOWN TOROON",2,19,2014,Accommodation,Income,2695.52
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB T21187134271 12.89 CAD @ 1.000000",10,26,2005,Food,Income,5980.22
"REQUEST MONEY 010338709427 Floribert Kamabu",3,24,2001,Personal,Expense,7410.36
"Point of Sale - INTERAC RETAIL PURCHASE 000001001183 UNICITY TAXI #",7,3,2017,Personal,Expense,1478.01
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119701211405",11,28,2020,Health,Expense,2825.70
"Point of Sale - INTERAC RETAIL PURCHASE 000001143004 UPS STORE #189",9,28,2013,Food,Expense,1401.80
"GREENCREST PHARMACY WINNIPEG MB",5,25,2020,Entertainment,Income,3629.47
"Internet Banking E-TRANSFER STOP 103291839668",7,27,2008,Food,Income,3768.59
"Internet Banking INTERNET BILL PAY 000000275373 MASTERCARD, BMO",7,30,2013,Personal,Expense,6806.52
"Internet Banking E-TRANSFER 103927439111 Nil",1,29,2008,Food,Expense,2511.75
"Automated Banking Machine ATM DEPOSIT FORT RICHMOND SQ 2A12",10,18,2014,Entertainment,Income,3062.93
"Internet Banking INTERNET TRANSFER 000000248000",8,2,2015,Entertainment,Income,2703.83
"H&M ONLINE TORONTO, ON",4,3,2006,Food,Income,9725.42
"Point of Sale - INTERAC RETAIL PURCHASE 821001001034 7 ELEVEN STORE",2,22,2017,Utilities,Income,6031.35
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",1,4,2015,Health,Expense,3507.63
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 125122533908",9,24,2007,Food,Income,8760.03
"Internet Banking INTERNET TRANSFER 000000277819",8,5,2006,Personal,Income,9433.79
"MARBLE SLAB CREAMERY WINNIPEG, MB",2,21,2020,Food,Income,8757.34
"Point of Sale - INTERAC RETAIL PURCHASE 000036006148 PEARLE VISION 5",10,9,2001,Food,Expense,4207.39
"Internet Banking E-TRANSFER 103908455504 ROBERTO DINGAL ORTEGA",1,5,2004,Utilities,Expense,4993.40
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 124323231129",9,15,2017,Entertainment,Expense,9535.00
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207667254 18.00 GBP @ 1.762222",9,3,2016,Personal,Income,5196.54
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *DOORDAS 114315330225",11,23,2006,Accommodation,Income,1863.14
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 115521642780",8,5,2000,Accommodation,Income,3533.86
"Point of Sale - INTERAC RETAIL PURCHASE 000653170804 ST VITAL VISION",5,11,2015,Entertainment,Expense,4816.00
"DOORDASH*CIRCLE K DOWNTOWN TORO, ON",5,30,2010,Personal,Expense,4280.75
"Point of Sale - INTERAC RETAIL PURCHASE 000001140007 UPS STORE #189",4,3,2003,Health,Income,7808.01
"CREDIT ADJUSTMENT",9,19,2006,Accommodation,Expense,6738.51
"PAY PER USE OVERDRAFT FEE",9,29,2016,Utilities,Expense,62.92
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 128319713380 75.00 CAD @ 1.000000",3,9,2010,Health,Income,199.76
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB T21187134271 12.89 CAD @ 1.000000",5,6,2017,Health,Expense,6588.30
"Point of Sale - INTERAC RETAIL PURCHASE 125215434629 TIM HORTONS #01",1,13,2018,Personal,Expense,4888.26
