Title,Date,Category,Income/Expense,Amount
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130319587460",08/10/2019,Health,Income,8641.15
"Point of Sale - INTERAC RETAIL PURCHASE 860001001001 7 ELEVEN STORE",07/14/2009,Accommodation,Expense,3529.06
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.251000",04/24/2015,Food,Expense,4775.32
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",08/23/2020,Health,Income,6911.30
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112601145020",02/03/2008,Health,Expense,510.18
"Point of Sale - INTERAC RETAIL PURCHASE 000001431182 SOBEYS #5037",06/04/2005,Personal,Income,2839.30
"Internet Banking E-TRANSFER 103931951869 Nil",10/29/2011,Accommodation,Expense,3821.93
"Internet Banking INTERNET TRANSFER 000000226259",11/23/2001,Personal,Expense,8085.95
"Internet Banking INTERNET BILL PAY 000000248281 MASTERCARD, BMO",08/18/2004,Personal,Income,2494.29
"Crocs Canada, Inc. crocs.ca, ON",03/22/2000,Personal,Expense,5022.35
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033517331671 424.50 EGP @ 0.085606",09/12/2004,Utilities,Expense,6685.53
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 124323231129 129.00 CAD @ 1.000000",04/16/2014,Health,Income,3184.02
"Internet Banking INTERNET TRANSFER 000000281600",01/08/2002,Accommodation,Expense,3011.22
"LONDON DRUGS 66 WINNIPEG, MB",05/07/2007,Utilities,Expense,2945.09
"EPC*EPIC GAMES STORE 919-854-0070 59.99 USD @ 1.344390",10/19/2007,Utilities,Expense,6906.38
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 122817474064 80.00 CAD @ 1.000000",03/12/2005,Personal,Expense,4674.36
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 122817474064 67.43 CAD @ 1.000000",09/20/2019,Personal,Income,3174.94
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",02/10/2015,Food,Income,3913.42
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 115806783478 15.41 CAD @ 1.000000",02/03/2001,Utilities,Expense,2562.91
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 128319713380 75.00 CAD @ 1.000000",10/11/2015,Utilities,Expense,2233.11
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOOGLE *Google 129262581781",07/12/2000,Health,Income,4314.76
"Internet Banking E-TRANSFER 103291836407 Nil 2",07/02/2011,Health,Income,1649.31
"Internet Banking INTERNET TRANSFER 000000240361",03/06/2015,Personal,Income,7222.43
"Internet Banking E-TRANSFER 103893663933 CARLI ALECIA-MARIE MCNABB",04/04/2000,Accommodation,Expense,4461.24
"DOLLARAMA #1286 WINNIPEG MB",05/02/2005,Health,Expense,9958.62
"CREDIT ADJUSTMENT",04/02/2013,Food,Expense,1632.67
"Internet Banking INTERNET TRANSFER 000000289816",05/11/2006,Personal,Expense,8417.52
"Crocs Canada, Inc. crocs.ca, ON",02/17/2001,Food,Expense,7081.17
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112601145020",01/03/2004,Personal,Expense,6516.98
"Internet Banking E-TRANSFER 103893663933 CARLI ALECIA-MARIE MCNABB",09/06/2003,Accommodation,Income,6703.21
"AMZN Mktp CA*2R17U8FM2 WWW.AMAZON.CA, ON",08/07/2011,Food,Income,6612.92
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL APPLE.COM/CA 215807003250",06/02/2003,Health,Expense,9509.74
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207718434 27.00 USD @ 1.273704",06/11/2014,Accommodation,Income,3608.82
"Internet Banking INTERNET TRANSFER 000000225749",01/21/2015,Health,Income,233.54
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*TIM HO 125122780380",03/23/2010,Utilities,Income,495.09
"Internet Banking INTERNET TRANSFER 000000260110",02/23/2007,Entertainment,Expense,6495.77
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 115806783478 12.41 CAD @ 1.000000",01/18/2020,Accommodation,Expense,4521.60
"Internet Banking INTERNET BILL PAY 000000243009 MASTERCARD, BMO",04/01/2010,Accommodation,Income,242.97
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",03/05/2008,Food,Expense,1870.55
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 120723688008",02/16/2004,Accommodation,Income,8414.96
"Internet Banking INTERNET TRANSFER 000000235999",01/09/2010,Utilities,Income,9669.42
"FAMOUS PLAYER 2402QPS WINNIPEG MB",05/10/2005,Health,Expense,6164.32
"DOORDASH*TIM HORTONS DOWNTOWN TOROON",08/24/2002,Food,Income,4304.55
"Internet Banking INTERNET TRANSFER 000000242922",02/24/2000,Accommodation,Income,9610.59
